"Story","Title","Result","Date","Stability","Duration (s)"
"Testing a different request on product","Verify that product is created","SUCCESS","2023-01-10T18:22:07.518Z[Europe/London]","0.0","0.2"
"Testing a different request on product","Verify that I can get created product with productId","SUCCESS","2023-01-10T18:22:07.788Z[Europe/London]","0.0","0.03"
"Testing a different request on product","Verify that the product is updated with productId","SUCCESS","2023-01-10T18:22:07.843Z[Europe/London]","0.0","0.06"
"Testing a different request on product","Verify that the created product is deleted","SUCCESS","2023-01-10T18:22:07.922Z[Europe/London]","0.0","0.06"
"CRUD test of Product","CRUD Test","PENDING","2023-01-10T18:22:08.035Z[Europe/London]","0.0","0.0"
"Testing a different request on store","Verify that store is created","SUCCESS","2023-01-10T18:22:08.078Z[Europe/London]","0.0","0.06"
"Testing a different request on store","Verify that I get created store with storeId","SUCCESS","2023-01-10T18:22:08.201Z[Europe/London]","0.0","0.03"
"Testing a different request on store","Verify that I update the store with storeId","SUCCESS","2023-01-10T18:22:08.276Z[Europe/London]","0.0","0.05"
"Testing a different request on store","Verify that I can delete the store","SUCCESS","2023-01-10T18:22:08.389Z[Europe/London]","0.0","0.08"
"Store Application","CRUD Test","PENDING","2023-01-10T18:22:08.535Z[Europe/London]","0.0","0.0"
